internal_sku,platform_sku,description,category
INT-B1CA3C,103170,Razorwood,Guitars>Electric solid body
INT-F257BD,103171,370,Guitars>Semi-hollow body
INT-4DFC1B,103173,Tri-Lam,Guitars>Semi-hollow body
INT-4969FB,103174,Acoustic,Guitars>Flat top
INT-0C4BA9,103176,Westminster,Amps>Combo
INT-A31538,103178,EVH Custom Shop Tribute Frankenstein Stratocaster,Guitars>Electric solid body
INT-2719E7,103182,20th Anniversary 594 McCarty Private Stock,Guitars>Electric solid body
INT-4F4A4B,103183,Bumblebee Stratocaster Tribute Model ,Guitars>Electric solid body
INT-CD0740,103184,Custom Shop Andy Summers Tribute Telecaster,Guitars>Electric solid body
INT-CC1E7B,103999,500/1 Violin Bass,Basses>4 string
INT-F6F1BD,104000,500/1 Violin Bass,Basses>4 string
INT-E5C073,104001,500/1 Violin Bass,Basses>4 string
INT-ECEEC3,104003,500/1 Cavern Bass Left Handed,Basses>4 string
INT-0C3B5D,104004,Prototype 'Thumbs Carllile' Stratocaster 1955 - Natural,Guitars>Electric solid body
INT-0FE9E9,104006,Telecaster,Guitars>Electric solid body
INT-42CE7B,104008,Stratocaster,Guitars>Electric solid body
INT-DC6508,104012,Twin,Amps>Combo
INT-2A16D8,104013,JTM45 Head,Amps>Heads
INT-E5FCD7,104014,Slash November Rain J45,Guitars>Flat top
INT-2D510B,104180,Telecaster,Guitars>Electric solid body
INT-24FF8E,104182,25/50 Anniversary Les Paul Custom,Guitars>Electric solid body
INT-C585C6,104186,500/1 Violin Bass ,Basses>Semi-hollowbody
INT-7908CB,104187,500/1 Violin Bass,Basses>Semi-hollowbody
INT-DD49BD,104188,500/1 Violin Bass,Basses>Semi-hollowbody
INT-7F68AB,104189,500/1 Cavern Bass Left handed McCartney The Beatles,Basses>Semi-hollowbody
INT-6A8DF0,104318,Drum Kit ex BRIAN DOWNEY THIN LIZZY,Drums>Shell Kits
INT-C3781F,104320,"LES PAUL , Collectors Choice Number 2 , Goldie",Guitars>Electric solid body
INT-840C95,104321,DE500 Duane Eddy Signature Model ,Guitars>Semi-hollow body
INT-1A20E9,104325,Les Paul SG EX LES PAUL & MARY FORD,Guitars>Electric solid body
INT-C155E3,104481,1/28 Acoustic,Guitars>Flat top
INT-38736F,110220,Synchromatic,Guitars>Semi-hollow body
INT-2F7FF7,110221,ES175,Guitars>Semi-hollow body
INT-762580,110222,J50,Guitars>Flat top
INT-1E6C46,110223,Excel,Guitars>Archtop>Acoustic
INT-EEE06B,110224,White Penguin,Guitars>Electric solid body
INT-CECD06,110225,Precision Bass,Basses>4 string
INT-9010AF,110227,D18 Golden Era,Guitars>Flat top
INT-30372C,110229,Les Paul Standard 'Burst',Guitars>Electric solid body
INT-424A75,111002,MKI Tone Bender Master Build,Effects>Fuzz
INT-D22EA7,111003,Les Paul Standard,Guitars>Electric solid body
INT-1D03BA,111004,Stratocaster,Guitars>Electric solid body
INT-0DAB28,111005,Dan Smith stratocaster,Guitars>Electric solid body
INT-C1BC2D,111019,Paul McCartney Band Guitar Routing System,Effects>Other
INT-6AB06A,111020,Fuzz Reverb Unit,Effects>Fuzz
INT-426627,111022,Multiac AC SA Nylon Rosewood,Guitars>Chambered solid body
INT-E4E3D5,111024,1997 Rose Morris Model Ex Gem Archer Oasis Beady Eye,Guitars>Semi-hollow body
INT-921765,111026,Raya RON WOOD THE Rolling Stones CONNECTION,Guitars>Electric solid body
INT-044210,111027,Glen Campbell,Guitars>Flat top
INT-EC2243,111028,1976 Reissue Explorer,Guitars>Electric solid body
INT-F17287,111100,Harley Davison Ltd Edition acoustic,Guitars>Flat top
INT-69D318,111102,Silverjet,Guitars>Electric solid body
INT-6FC8B6,111104,Les Paul Custom,Guitars>Electric solid body
INT-41177E,111105,EC-10,Guitars>Flat top
INT-468791,111106,Esquire,Guitars>Electric solid body
INT-E63E67,111108,J-185,Guitars>Flat top
INT-00221B,111109,1958 Reissue Les Paul standard MURPHY LAB HEAVY RELIC,Guitars>Electric solid body
INT-4DEA05,111110,59 Reissue Les Paul Murphy Lab,Guitars>Electric solid body
INT-48A31A,111111,164 Solid,Guitars>Electric solid body
INT-347510,111112,330,Guitars>Semi-hollow body
INT-B7832E,111113,33H Hawaiian Motif ,Guitars>Resonator
INT-9070D6,111114,Mark Tremonti Model ,Guitars>Electric solid body
INT-70FCB3,111115,Mark Tremonti,Guitars>Electric solid body
INT-163779,111165,AUB-1 Fretless Bass,Basses>Fretless
INT-5FC3AF,111166,"JMP 50 Head ex BOB DAISLEY, Randy Rhoads, Ozzy Osbourne, Gary Moore",Amps>Heads
INT-993717,111169,"Buddy Holly J45 Foundation Charity Guitar 2024 - Sunburst , Mark Knopfler , David Gilmour , Pete Townshend , Jeff Beck",Guitars>Flat top
INT-90731D,111294,Prophet 5 Ex Dire Straits Mark Knopfler,Pianos>Synth & Keyboard
INT-750307,111321,000-18,Guitars>Flat top
INT-8B8B1E,111325,John Mayer Tattoo Acoustic,Guitars>Flat top
INT-61E9FD,111406,Whammy EX KK DOWNING JUDAS PRIEST ,Effects>Octave
INT-CA8685,111506,MKI Bass,Basses>4 string
INT-1FBAF2,111507,Les Paul Junior,Guitars>Electric solid body
INT-A4830B,111511,Super Chorus,Effects>Chorus
INT-461233,111512,Telecaster,Guitars>Electric solid body
INT-4174CB,111738,Tube Strobe Tuner Ex Rolling Stones,Effects>Other
INT-80DE9C,111740,50s Reissue Stratocaster Signed by Nile Rodgers THE HITMAKER,Guitars>Electric solid body
INT-3647FF,111742,Custom Shop Collectors Choice No 1 Peter Green 'Greeny',Guitars>Electric solid body
INT-46A2D6,111743,Masterbuilt 50s Relic Stratocaster ex John Squire THE STONE ROSES,Guitars>Electric solid body
INT-CBA985,111745,Stratocaster,Guitars>Electric solid body
INT-E31543,111887,ES335,Guitars>Semi-hollow body
INT-D713CD,111890,L7 Charlie Christian ,Guitars>Archtop>Electric
INT-424BE9,112019,ART SC2 Compressor Ex Steve Howe YES ASIA 1990s - Black,Effects>Compressor
INT-C78B84,112020,SC2 Compressor Ex Steve Howe YES ASIA ,Effects>Compressor
INT-C93CC9,112021,FXR ELITE II Multi effects Ex Steve Howe YES ASIA,Effects>Multieffect
INT-5C786B,112027,MKS-80 Super Jupiter Rackmount Sound Module Ex Steve Howe YES ASIA,Effects>Other
INT-BE07DF,112028,MIR Music Workstation ex Steve Howe YES ASIA,Effects>Multieffect
INT-48754C,112029,U-110 PCM Sound Module Ex Steve Howe YES ASIA,Effects>Multieffect
INT-41F3AB,112031,Effects Network Reverb Delay ex Steve Howe YES ASIA 1990s - Black,Effects>Multieffect
INT-429214,112032,SPX-1000 Multi effects processor ex Steve Howe YES ASIA,Effects>Multieffect
INT-108590,112035,Midi Link Ex Steve Howe Yes ASIA 1980s - Grey,Effects>Looper/Switching/Controller
INT-DC9594,112036,SA-20 Dual Reverb ex Steve Howe YES ASIA 1980s - Black,Effects>Reverb
INT-985447,112037,SM26 Splitter Mixer Ex Steve Howe YES ASIA 1980s - Black,Effects>Looper/Switching/Controller
INT-11B3BF,112038,Tube Direct DI Rackmount Unit ex Steve Howe YES ASIA 1990s - Black,Effects>Other
INT-A2B8C6,112039,GR700 Guitar Synth Board ex Steve Howe YES ASIA 1980s - Silver,Effects>Multieffect
INT-A57E3F,112196,Nocaster 1951 - Blonde - Collector Grade - Worlds Best,Guitars>Electric solid body
INT-9639C3,112197,Les Paul Standard,Guitars>Electric solid body
INT-C959ED,112200,Stratocaster THE FIRST YEAR,Guitars>Electric solid body
INT-9582ED,112202,AC30 Dual Flightcase ex Andy Taylor Duran Duran,Amps>Cabinets
INT-E6A1BC,112206,JVM210H Head ex Andy Taylor Duran Duran ,Amps>Heads
INT-ED7AF4,112207,4x12 Cabinet ex Andy Taylor Duran Duran ,Amps>Cabinets
INT-683EF7,112209,AC30 Cab ex Andy Taylor Duran Duran,Amps>Cabinets
INT-B77CC7,112248,Custom Shop 57 Tweed Deluxe,Amps>Combo
INT-242882,112249,Custom 40 Tweed Combo with Extension cab 'Eric Clapton' ,Amps>Combo
INT-4283A1,112251,Custom Shop 57 Tweed Twin with Jupiter Upgrades ,Amps>Combo
INT-AA8C77,112292,E-series ex Keith Levene PiL THE CLASH,Guitars>Electric solid body
INT-EB0719,112294,Wiltshire ex Jesse Wood Ronnie Wood ,Guitars>Electric solid body
INT-AC75AB,112552,Vibrolux Reverb Silverface ,Amps>Combo
INT-63035F,112554,ES345 WORLDS FINEST,Guitars>Semi-hollow body
INT-442AE1,112555,Stratocaster,Guitars>Electric solid body
INT-D93934,112556,ES335 THE WORLDS FINEST,Guitars>Semi-hollow body
INT-48704F,112562,Concord Combo,Amps>Combo
INT-838176,112565,Delta Blues,Amps>Combo
INT-5A3067,112568,1962 Bluesbreaker Reissue ,Amps>Combo
INT-533E07,112569,JMP MKII Head,Amps>Heads
INT-969E71,112571,Custom 100 DR103,Amps>Heads
INT-6542D5,112572,JCM900 Hi-Gain Dual Reverb 4500 Head 50W,Amps>Heads
INT-11F2B2,112573,SE4122 4x12 Cabinet ,Amps>Cabinets
INT-9B8FCE,112574,Custom 100 DR103,Amps>Heads
INT-0403EE,112576,Vibrolux Reverb Silverface,Amps>Combo
INT-A1EE46,112577,Twin Reverb Silverface ,Amps>Combo
INT-1F02A1,112578,Custom 50 DR504 ,Amps>Heads
INT-AEA976,112579,SE4122 4x12 Cabinet,Amps>Cabinets
INT-8840A6,112580,Twin Blackface ,Amps>Combo
INT-1BF87C,112581,Twin Reverb Silverface,Amps>Combo
INT-7D5DF1,112582,Tube Reverb Tank ,Effects>Reverb
INT-BE3E89,112584,68 Custom Vibrolux Reissue Silverface,Amps>Combo
INT-0C182B,112587,Blues Deville 2x12 ,Amps>Combo
INT-449BF0,112588,Tube Reverb Tank ,Effects>Reverb
INT-3F4FB3,112589,64 Deluxe Reverb Reissue,Amps>Combo
INT-87075D,112594,Pro Reverb Silverface drip edge,Amps>Combo
INT-050981,112595,Tube Reverb Tank,Effects>Reverb
INT-C11E96,112596,Pro Junior,Amps>Combo
INT-E837D1,112597,Custom Shop Deluxe Amp,Amps>Combo
INT-2B7231,112598,59 Bassman Ltd,Amps>Combo
INT-D28D5F,112599,USA Champ Amp ,Amps>Combo
INT-1EFC54,112601,X320 Les Paul EX ELO ELECTRIC LIGHT ORCHESTRA ,Guitars>Electric solid body
INT-284EFE,112602,ex ELO Jeff Lynne THE IDLE RACE ,Amps>Combo
INT-AA7893,112603,C200 Delay ex ELO,Effects>Delay & Echo
INT-BAF657,112740,ES330,Guitars>Semi-hollow body
INT-1588CF,112741,JTM50 Black Black THE WORLDS FINEST,Amps>Heads
INT-E20783,112818,White Bison Bass,Basses>4 string
INT-EC6B73,112819,Jazzmaster,Guitars>Electric solid body
INT-B9034D,112820,Jazzmaster THE WORLDS FINEST,Guitars>Electric solid body
INT-923CF3,113074,SRV Signature Stratocaster played and signed by Jimmy Vaughan,Guitars>Electric solid body
INT-7E2C0F,113075,Eric Clapton Master Built Tribute Black Stratocaster,Guitars>Electric solid body
INT-6DD00C,113076,Elite Stratocaster Ex Andy Fairweather Low ,Guitars>Electric solid body
INT-A2095A,113077,Supro Ozark Model Ex Andy Fairweather Low Eric Clapton Tour ,Guitars>Electric solid body
INT-51ED81,113078,Cooder-Caster Stratocaster Ex Andy Fairweather Low ,Guitars>Electric solid body
INT-7A4E30,113083,Custom Shop Masterbuilt Acrylic Stratocaster,Guitars>Electric solid body
INT-229AF0,113084,80th Anniversary BB King Lucille,Guitars>Electric solid body
INT-B8D889,114686,Telecaster,Guitars>Electric solid body
INT-436008,114687,40W Head EX PINK FLOYD,Amps>Heads
INT-AC1B42,114688,Stratocaster 'Mary Kaye',Guitars>Electric solid body
INT-6FB189,114689,AC5075 XT Head LED ZEPPELIN JIMMY PAGE,Amps>Heads
INT-488938,114690,4001 ex Guy Pratt David Gilmour Pink Floyd,Basses>4 string
INT-DB8BC1,114691,16 Channel Vocoder,Effects>Other
INT-A2BAF0,114692,CO2 Long tom Echo LED ZEPPELIN,Effects>Delay & Echo
INT-7872EC,114870, Custom Shop Les Paul Special Ltd Edition,Guitars>Electric solid body
INT-5DBD35,114871,Vintage Southerner,Guitars>Flat top
INT-BD1310,114872,Custom Shop Eric Clapton Beano Les Paul Standard,Guitars>Electric solid body
INT-D325BA,114873,Telecaster Custom ,Guitars>Electric solid body
INT-CED0C9,114874,ES335 Dot,Guitars>Semi-hollow body
INT-6105BD,114875,Jazzmaster,Guitars>Electric solid body
INT-DEFE91,114876,Murphy Lab ES335 ,Guitars>Semi-hollow body
INT-A45AA7,114877,Custom Shop 1955 Stratocaster,Guitars>Electric solid body
INT-14D058,114878,Starfire,Guitars>Semi-hollow body
INT-F4EBB1,114879,Custom Shop 68 Reissue Stratocaster,Guitars>Electric solid body
INT-0E7459,114880,OM2H,Guitars>Flat top
INT-CE380A,114881,Baby 2H,Guitars>Flat top
INT-CE83DA,114882,Fuzz Tone,Effects>Fuzz
INT-3FCB01,114883,D42,Guitars>Flat top
INT-C1F3FF,114884,D35,Guitars>Flat top
INT-FC3FA4,114885,D18,Guitars>Flat top
INT-87F347,115073,1960 Dark Burst,Guitars>Electric solid body
INT-80D4E2,115078,JTM45 Head GOLD BLOCK LOGO,Amps>Heads
INT-BB9F63,115079,JTM50 Head,Amps>Heads
INT-419AB8,115080,JTM45 Head COLLECTOR GRADE,Amps>Heads
INT-9C9F3F,115081, JTM 100 Head,Amps>Heads
INT-158FED,115082, JTM45 Super 100 Head,Amps>Heads
INT-F80568,115174,Blackface Overdrive Pedal,Effects>Overdrive
INT-B846B4,115175,Silverface Overdrive Pedal,Effects>Overdrive
INT-0D371A,115251,Rory Gallagher Relic Rangemaster,Effects>Treble Booster
INT-4B2C21,115602,Prototype 6 String Electric Guitar UNIQUE,Guitars>Electric solid body
INT-03631E,115603,Maple Top Electric Guitar,Guitars>Electric solid body
INT-C45DF0,115604,Dragon Front,Guitars>Electric solid body
INT-F8AE65,115605,12 String Electric Guitar,Guitars>Electric solid body
INT-52B1A8,115606,Semi Acoustic UBER RARE MODEL,Guitars>Semi-hollow body
INT-135636,115607,Florentine Mandolin RARE ONE OF A KIND,Stringed Instruments>Mandolin & mandolin family
INT-3F1CA2,115608,Gothic 6 String Acoustic RARE,Guitars>Flat top
INT-941157,115609,6 String Acoustic Dreadnought,Guitars>Flat top
INT-8203B0,115610,Hand Built Classical Guitar,Guitars>Classical
INT-A2A518,115611,Metal Face Bass RARE,Basses>4 string
INT-4F8ADD,115612," Acoustic Bass RARE SPECIAL ORDER, David Gilmour, Mike Oldfield style",Basses>Acoustic / Electric
INT-77CD8E,115613, Unique Dulcimer Kyoto Custom instrument RARE ONE OFF ,Stringed Instruments>Other
INT-A641C3,115614,Stratocaster used by Rory Gallagher,Guitars>Electric solid body
INT-CCEE62,115615,JTM45 Head Silver and Maroon Block Logo UBER RARE,Amps>Heads
INT-671D0A,115616,Custom Shop Playboy 40th Anniversary Stratocaster,Guitars>Electric solid body
INT-C56977,115617,SG Custom,Guitars>Electric solid body
INT-3AFE76,115618,59 Reissue Les Paul Custom Shop 59 Reissue Les Paul 7A QUILTED MAPLE TOP STUNNING,Guitars>Electric solid body
INT-F46683,115619,Les Paul  Ex Darkness,Guitars>Electric solid body
INT-FD09DF,115628,Custom Shop Strat Ultra,Guitars>Electric solid body
INT-CD9731,115629,Eric Clapton Signature Blackie Stratocaster ,Guitars>Electric solid body
INT-977194,115630,PRE-HISTORIC 59 REISSUE RARE Brazilian Board Killer Flame Top,Guitars>Electric solid body
INT-CE8498,115631,ES355,Guitars>Semi-hollow body
