var_id	product_id	SKU	GTIN	MPN	RRP	POA	SellPrice1	sellprice2	sellprice3	sellprice4	mblimit1	mblimit2	mblimit3	costprice	stockitem	stock	stocktext	weight	oos	shippingquote	cond	WAS	attributevals	vtitle	lowstock	varprimary	enquire
2004	1881	R123			0	0	495	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 123	0	1	0
2005	1882	R140S			0	0	985	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 140S	0	1	0
2006	1883	R136			0	0	795	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Raimundo 136	0	1	0
2007	1884	R4NE			0	0	2750	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 4NE	0	1	0
2008	1885	R1NP			0	0	1495	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 1NP	0	1	0
2009	1886	R2NP			0	0	1925	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 2NP	0	1	0
2010	1887	R2NCWE			0	0	2100	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Ramirez 2NCWE	0	1	0
2011	1888	A424			0	0	520	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Almansa 424	0	1	0
2012	1889	435CTB			0	0	1250	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Almansa 435 CT Black	0	1	0
2013	1890	371OP			0	0	199	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Strunal 371 OP	0	1	0
2014	1891	C770 EA			0	0	330	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Strunal C770 EA	0	1	0
2015	1892	61EPW			0	0	5999	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1961 Epiphone Wilshire	0	1	0
2016	1893	62EPC			0	0	4750	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1962 Epiphone Coronet	0	1	0
2017	1894	62EPCW			0	0	4999	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1962 Epiphone Crestwood	0	1	0
2018	1895	62EPHC			0	0	4750	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	##apos##62 Epiphone Coronet	0	1	0
2019	1896	61EPCW			0	0	4790	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	1961 Epiphone Crestwood	0	1	0
2020	1897	JSFETW			0	0	8999	0	0	0	0	0	0	0	1	0		50	1	0	new	0	NULL	default	0	1	0
2021	1898	JS76BB			0	0	7999	0	0	0	0	0	0	0	1	0		50	1	0	new	0	NULL	default	0	1	0
2022	1899	JS63AC30			0	0	4599	0	0	0	0	0	0	0	1	0		37	1	0	new	0	NULL	default	0	1	0
